Course Code,Course Name,L-T-P,Credits,Discipline,Program,Course category,Slot Lecture\Venue,Tutorial Slot\Venue,Lab slot\Venue,Instructor
CYL500,Quantum Chemistry,3-0-0,3,CY,MSc,PC,C,,,Dr. Mehboob Alam
CYL501,Stereochemistry and Reaction Mechanism,3-0-0,3,CY,MSc,PC,A,,,Dr. Hemanta Kumar Kisan
CYL509,Molecular Spectroscopy and Computational Chemistry,3-0-0,3,,,PE,G,,,"Dr. Satyajit Gupta (IC), Dr. Torsha Moitra"
CYL600,Advanced Organic Chemistry,3-0-0,3,CY,MSc,PC,F,,,Dr. Ganapathy D
CYL601,Organometallic Chemistry,3-0-0,3,CY,MSc,PC,B,,,Dr. Arup Mukherjee
CYL605,EPR Spectroscopy and Applications,3-0-0,3,,,PE,A,,,Dr. Ramasamy Mayilmurugan
CYLXXX,Density Functional Theory,2-1-0,3,,,,CY,,,L X Dr. Torsha Moitra
CYP102,Chemistry Lab,0-0-3,1.5,CY,BTech,IC,OWQSU,,,"Dr. Rukmankesh (IC), Dr. Katchala Nanaji,Dr."
CYP502,Organic and Inorganic Laboratory,0-0-6,3,CY,MSc,PC,"Q,S",,,"Dr. Raghavender Medishetty (IC), Dr. Ganapathy"
CYP503,Physical and Computational Laboratory,0-0-6,3,CY,MSc,PC,"O,U",,,"Dr. Satyajit Gupta (IC), Dr. Suchetan Pal, Dr."
CYT699,MSc Thesis,X-X-X,6,CY,MSc,TC,DPGC_CY,,,
CYT895,PhD Candidacy,X-X-X,0,CY,PhD,TC,DPGC_CY,,,
CYT899,Thesis (PhD) New,X-X-X,9 to 12,CY,PhD,TC,DPGC_CY,,,
IC103,Material chemistry I,2-0-0,2,CY,BTech,IC,Dr.,,,Sanjib Banerjee
ECL201,Digital Design,3-0-0,3,ECE,BTech,PC,E,,,Dr. Karthikeyan E
ECL202,Signals and Systems,3-0-0,3,ECE,BTech,PC,B,,,Dr. Hathiram Nenavath
